id,价格,评价,评价日期,票务类型,评论,,,,
BcA164877662,259,4,2021.06.04,黄龙风景名胜区门票+上行索道（成人票）,挺好的,,,,
QUn813299389,259,4,2021.02.17,黄龙风景名胜区门票（成人票）,一家人2021年2月16日自驾游去的，淡季，游客不多，山上商家就一家，且商品不多，最好自带食物上山。一路都是的雪景，景色不错，现在就是没缆车，走走停停，来回花了6小时。有高反的可以在门口购买氧气瓶，15元/瓶。,,,,
Kjf626361395,259,5,2021.05.29,黄龙风景名胜区门票+上行索道（成人票）,五一节去的，不是最佳旅行时间。,,,,
xJv391150079,259,5,2021.05.03,黄龙风景名胜区门票+上行索道票(成人票）,「五彩池」漂亮，虽然很累，但景区服务人员态度都很好，感觉很棒！,,,,
乐迪3,259,5,2021.05.25,黄龙风景名胜区门票+上行索道（成人票）,还行吧，走路累，上去容易下去难受,,,,
果果儿，不甜,259,3,2021.05.20,黄龙风景名胜区门票+上行索道（成人票）,对于这个门票价格，这个风景也算值得。黄金周人多。,,,,
zmM618716327,259,2,2021.05.07,黄龙风景名胜区门票+上行索道（成人票）,这个季节水很少，好的海都是干的,,,,
羡羡的蓝大白菜,259,2,2021.05.22,黄龙风景名胜区门票+上行索道（成人票）,个人觉得五月不建议去，水少得很，没什么看的,,,,
甜絮aa,259,2,2021.04.29,黄龙风景名胜区门票+上行索道票(成人票）,可能我们去的不是时候 看到的只有雪 满山的雪 不过也挺好看的 虽然没有水,,,,
江大鱼200183,259,4,2021.05.21,黄龙风景名胜区门票+上行索道（成人票）,挺好的,,,,
Uxl912158384,259,1,2021.05.20,黄龙风景名胜区门票+上行索道（成人票）,只有一个池子有水，没看头【环境】【项目】,,,,
匿名用户,259,1,2021.04.13,黄龙风景名胜区门票+上行索道（成人票）,太失望了，什么也看不到，坐索道上去还要走两公里多才到五彩池，没有水，整个景区都没有水，除了雪，什么也看不到，真不知道哪里来的底气收这么贵的门票，推荐去九寨沟，这个黄龙就是个坑,,,,
PXm326762977,259,3,2021.05.07,黄龙风景名胜区门票+上行索道票(成人票）,遇上枯水期，水不多，到时候几个有水的池还是很好看的，丰水期去的话应该很美,,,,
没事喝雪碧,259,3,2021.03.18,黄龙风景名胜区门票+上行索道票（老人票，非法定节假日）,风景还是很不错的，下次有机会还会带着家人一起去的……,,,,
YvF556457865,259,1,2021.04.30,黄龙风景名胜区门票+上行索道（成人票）,去过九寨沟就没必要去黄龙景区了！就只有一个五彩池能看，其他地方都没有看头！！水都快枯竭了！！,,,,
sdZ529662270,259,2,2021.05.05,黄龙风景名胜区门票+上行索道票（学生票）,可能是季节没选择对，去了啥也没有，池子基本都没水，反正很扯淡,,,,
山花澜漫,259,5,2021.02.16,黄龙风景名胜区门票（成人票）,冬天雪很大，能看到就景色除了雪没得其他，钙化的景观都被雪覆盖了，秋天去应该景色会比较好。没有看到沿途什么特别的景点，直接去的五彩池，五彩池也只剩余少部分水面没有被覆盖，从2号停车场出发用时4小时达到。沿途各种各样的小雪人也是非常有趣的，哈哈哈！,,,,
吧啦个香蕉r,259,4,2021.05.06,黄龙风景名胜区门票（成人票）,大年初几头去的，全是雪，就没得啥景色了,,,,
fWx794752687,259,2,2021.05.01,黄龙风景名胜区门票+上行索道票(成人票）,坑啊！就那么一个水洼洼，害我走了十三里路。你就不能搞个小交通车啊？,,,,
peach20062006,259,2,2021.04.08,黄龙风景名胜区门票+上行索道票（老人票，非法定节假日）,4月来黄龙基本就是来了个寂寞 除了五彩池 其他什么都没有 索道以后还要爬好久 五彩池确实漂亮,,,,
匿名用户,259,2,2021.05.05,黄龙风景名胜区门票+上行索道（成人票）,非常一般，感觉不值门票，简直是花钱找罪受,,,,
匿名用户,259,2,2021.05.04,黄龙风景名胜区门票+上行索道（成人票）,暂时没什么水的，走路太多了 这个季节leng,,,,
匿名用户,259,3,2021.05.02,黄龙风景名胜区门票+上行索道（成人票）,五彩池很美，雪山很漂亮，就是温差有点大，还有些池子没有水,,,,
IMQ248193482,259,1,2021.05.03,黄龙风景名胜区门票+上行索道（成人票）,感觉很累的爬了山，没撒可看的，地震之后没有水了,,,,
NpY313996752,259,1,2021.05.02,黄龙风景名胜区门票+上行索道（成人票）,一路走走走走  几个水坑  太一般了        好多人都没走完就半路回去了,,,,
TjX504254655,259,4,2021.05.04,黄龙风景名胜区门票+上行索道（成人票）,可能季节不对，只有那么几个池子有水，大部分都没有,,,,
spiryn,259,1,2021.05.04,黄龙风景名胜区门票+上行索道（成人票）,除了五彩池有一点水，其他地方全是干的！后悔去了！,,,,
BIh647091346,259,1,2021.05.02,黄龙风景名胜区门票+上行索道（成人票）,遇到最差的一个景点了，不提供热水！体验感超级差,,,,
倾尽天下yl,259,3,2021.05.04,黄龙风景名胜区门票+上行索道（成人票）,【环境】【交通】【项目】【餐饮】,,,,
OVE403865357,259,2,2021.05.03,黄龙风景名胜区门票+上行索道（成人票）,没有水，风景跟图片差的远，没来对时间,,,,
XKL232427849,259,1,2021.05.03,黄龙风景名胜区门票+上行索道（成人票）,设施老旧，环境极差，全是垃圾。,,,,
欲语泪，先流,259,1,2021.05.03,黄龙风景名胜区门票+上行索道（成人票）,我还没消费，就直接给我点了，还没有给我处理,,,,
Diw503160627,259,1,2021.05.02,黄龙风景名胜区门票+上行索道（成人票）,在我视线内只有树，，，个人不喜欢,,,,
GVv852713924,259,4,2021.02.13,黄龙风景名胜区门票（成人票）,我们头天下午就去了，头天没下雪，第二天雪堆很厚！这两天记得买防滑链！风景挺漂亮的！,,,,
冰聪天使,259,3,2021.04.24,黄龙风景名胜区门票+上行索道（成人票）,服务还好，不错。就是路太长，很累很累。,,,,
冰聪天使,259,2,2021.04.24,黄龙风景名胜区门票+上行索道票（青少年票）,服务还好。景区一般般，很累很累,,,,
愿你此生不负,259,4,2021.01.23,黄龙风景名胜区门票+上行索道（成人票）, ,,,,
我姓高却为你低头,259,1,2021.04.10,黄龙风景名胜区门票+上行索道（成人票）,骗人呢。啥也没有。都干巴了。看个毛啊,,,,
lxyannie128,259,5,2021.04.11,黄龙风景名胜区门票+上行索道票（青少年票）,非常好，一起走遍祖国的大好河山。,,,,
vlj805533714,259,3,2021.04.06,黄龙风景名胜区门票+上行索道（成人票）,没有预想的好，应该是时候不到，6月份来就美了,,,,
tIl241446888,259,4,2021.04.11,黄龙风景名胜区门票+上行索道票（老人票，非法定节假日）,下山太累了,,,,
vlj805533714,259,3,2021.04.06,黄龙风景名胜区门票（成人票）,许多景看不到，时间不对，最好6月再来,,,,
匿名用户,259,2,2021.04.01,黄龙风景名胜区门票（成人票）,结冰，没看到水。缆车没开。。。。结冰，没看到水。缆车没开。。。。结冰，没看到水。缆车没开。。。。结冰，没看到水。缆车没开。。。。结冰，没看到水。缆车没开。。。。,,,,
AnU774461467,259,3,2021.04.01,黄龙风景名胜区门票（成人票）,下了大雪，白茫茫一片加上高反，匆匆而回,,,,
大贝3134979,259,2,2021.03.30,黄龙风景名胜区门票（成人票）,不好玩  就是爬山  去的时间不对  没索道,,,,
AaH798058979,259,4,2020.11.13,黄龙风景名胜区门票+上行索道（成人票）,从九寨沟坐大巴到黄龙大概三小时车程。路上有人推销一个什么肽，治高反的，个人觉得没什么必要买。黄龙海拔能去的地方大概4000米，植被覆盖良好，山上没有医疗点，作用一个成熟的景区，不应该有很多人有很严重的高反才对。不是很推荐索道上行，没必要。并不省时。业务可以节约力气，毕竟不要爬上去。栈道修的很好，所以走上去是没什么问题的。游玩大概4-5小时。听当地人说有轻微不舒服可以喝葡萄糖，由于我没有碰到反应，所以也不知道有没有用。11月初到黄龙下雪了，所以觉得黄龙并不比九寨沟逊色。景色就自己置身其中去欣赏吧，每个人在不同季节不同天气不同心情都会有不一样的感受！,,,,
匿名用户,259,3,2021.02.26,黄龙风景名胜区学生门票,冬季黄龙都被雪覆盖，只能看雪，没啥意思⊙_⊙,,,,
匿名用户,259,4,2021.03.14,黄龙风景名胜区门票（成人票）,冬季黄龙所有池子都被雪覆盖，看了个寂寞。。,,,,
Los489283300,259,3,2021.03.14,黄龙风景名胜区门票（成人票）,回合肥捶捶背那几句话好回合肥捶捶背那几句话好,,,,
WXv312062206,259,2,2020.11.03,黄龙风景名胜区门票+上行索道（成人票）, ,,,,
叶定平123,259,3,2021.03.05,黄龙风景名胜区门票（成人票）,建议夏季过来  冬季除了看雪 别的真没有什么亮点,,,,
匿名用户,259,5,2021.03.01,黄龙风景名胜区门票（成人票）,喜欢爬山的都可以去，这边这个五彩城和九寨沟的不一样,,,,
RhD828440805,259,3,2021.02.20,黄龙风景名胜区门票+上行索道（成人票）,好lol咯女我咯恩兔嗯无他垃圾业绩请问图磨牙,,,,
rJv427622922,259,5,2020.11.15,黄龙风景名胜区门票+上行索道票(成人票）,九寨归来不看水，九寨沟的水真是非常出色，非常漂亮。不枉此行。现在就是最上面原始森林部分还未修复，故未开放。不过各个小景点已足够玩耍啦，一天都玩不下来。买了门票，景区各个小景点都有公交车可以自由上下，不需要再买票了。但是要事先安排好计划好游玩的路线，不要走冤枉路。,,,,
IgL597711650,259,5,2020.12.10,黄龙风景名胜区门票+上行索道（成人票）,美不胜收，坐缆车上去往下走观光也不累，两三小时就玩完了，。。。。,,,,
Mry488034942,259,1,2020.10.08,黄龙风景名胜区门票+上行索道（成人票）,想着和九寨沟齐名，就来看看，路有多烂想必就不用多说了，到景点停的4号停车场，走到坐缆车的地方也不算远几百米，然后排队等了将近两小时才坐上缆车，上去后步行一两小时还没到景点，后来才发现景点原来在另一个山头，让你坐缆车上来，然后再走下山换另一个山，这操作也是没谁了，我坐缆车就是为了省事，这可倒好，到景点附近的服务区，完全没心情看了，五彩池压根没去，问了工作人员，人家说坐缆车上来就是要走几公里，你要爬山上来600米就能看到景点了，我tm直接气笑了，直接下山，路过的池子看着就跟我家澡堂子的颜色一样，然后又走了几个小时，回来腿疼的几天都好不了，本想着带父母出来旅游，谁知道出来遭罪了，山上厕所好远一个，啥吃的也没有，服务区快餐土豆20，辣椒炒肉30，米饭6块，汤10块，一份下来66才几口菜，热水也没有，吸氧室全部不供氧气，高反头疼死了又走那么远山路，真的最坑人的景点，,,,,
zIE294842376,259,5,2021.02.13,黄龙风景名胜区门票+上行索道（成人票）,景区非常漂亮，己振憾到了我，让我想要留下来的感觉,,,,
腾飞XZQ,259,4,2021.02.13,黄龙风景名胜区门票+上行索道（成人票）,环境优美，设施维护，有局部在扩建中，景色别具一格。,,,,
tPN318891903,259,4,2021.02.15,黄龙风景名胜区门票+上行索道（成人票）,服务还可以，值的一去看一看，特别是玻璃栈道,,,,
upu266254528,259,4,2021.02.12,黄龙风景名胜区门票（成人票）,挺好的，方便,,,,
rJv427622922,259,4,2020.11.15,黄龙风景名胜区门票+上行索道（成人票）,去过九寨沟再来黄龙，感觉水就有点逊色了。但还是有他的独特之处。山上很冷，特别是结冰了以后走路千万要小心防滑，要选合适的鞋子，否则容易摔跤啊。五彩池要走到上面来看，在下面看不出什么，从上往下看还是非常漂亮的，可以看我的视频。,,,,
歌颂我,259,4,2021.02.10,黄龙风景名胜区门票+上行索道（成人票）,入园前均可购买,很漂亮的景区,,,
我的帅气嫩爸爸,259,1,2021.01.18,黄龙风景名胜区门票+上行索道（成人票）,浪费门票 和九寨沟比起来差远了 差远了,,,,
晨钟暮鼓1616,259,5,2021.01.23,黄龙风景名胜区门票+上行索道票（老人票，非法定节假日）,非常喜欢,,,,
肆意挥霍丶青春,259,5,2020.10.16,黄龙风景名胜区门票+上行索道（成人票）,堪称小九寨也不为过，国庆期间酒店才一百来块，景区外有免费公交接上下山点，只有景区门票必须购买，有览车5分钟上下山，身体好的可以完全步行，也可以步行上下山，一定要选择两种上下山模式才能把景区景色看完，值得一去的地方，景色宜人很美,,,,
foi410220959,259,3,2020.10.04,黄龙风景名胜区门票+上行索道（成人票）,【环境】从九寨沟过来就直奔黄龙了，阴雨绵绵～一直下着小雨，期望最大的五彩池，感觉，很失望，可能是最近雨水太多了，感觉与五彩池很浑浊但往景区下行，风景出乎意料，很好看，「金沙铺地」「飞瀑流辉」「盆景池」「莲台飞瀑」「娑罗映彩池」「迎宾池」都很不错～可能因为下雨还有疫情的原因，人没有很多，但寺院全部都是关闭的！！！挺遗憾的，感觉门票贵了,,,,
义渠李四,259,5,2021.01.14,黄龙风景名胜区门票+上行索道票（青少年票）,黄龙是我去过的，自然景色最好的，没有之一!,,,,
mBd966226022,259,5,2020.08.09,黄龙风景名胜区门票+上行索道（成人票）,黄龙风景名胜区位于阿坝州松潘县，总面积4万公顷，获得世界生物圈保护区和“绿色环球21”认证、国家地质公园、国家AAAAA级旅游景区等殊荣。秋日的阿坝州黄龙景区，婀娜多姿，是人间仙境，更是心灵放飞净土。黄龙本部主要由黄龙沟、丹云峡、雪宝顶等景区构成，牟尼沟部分主要是扎嘎瀑布和二道海两个景区。主要因佛门名刹黄龙寺而得名，以彩池、雪山、峡谷、森林“四绝”著称于世，是中国唯一的保护完好的高原湿地，这里山势如龙，又称“藏龙山相较于九寨沟，黄龙有自己独特的味道。蓝天白云，人间瑶池，净化心灵的圣地。美不胜收！五彩池超级漂亮。缆车上去后，景色不断。风景秀丽，值得一游！,,,,
sv660,259,5,2021.01.14,黄龙风景名胜区门票+上行索道（成人票）,一定要去的地方,,,,
小子叫我一声爸爸,259,5,2020.10.16,黄龙风景名胜区语音导览票（不含门票）,风景是真不错呀，平台买票还便宜了，就是下午才上山，去的时候刚好昨晚下了雪了，导致下午山上雾气相当浓厚，五彩池全部都被大雾笼罩住了，啥都看不清挺可惜的，但是模模糊糊的也能看出来很漂亮，晚上山上还挺冷的。,,,,
Tom鲨鱼辣椒,259,2,2020.07.28,黄龙风景名胜区门票+上行索道（成人票）,我真的服了，评论都是刷的还是有人控评？我真没觉得有多值。首先，捆绑售票这点我就无语，美团上买票必须是170门票加80上行索道一共250。要是你在景区售票中心买票的话，旺季门票170上行索道80下行索道40可以分开买。我听评论的买了套票250上山索道下山徒步，结果一路各种停停拍拍，连4个小时都没用到。什么高原反应更是扯淡，我当初就是看评论之后担心这一点才选择索道的，结果呢？索道没一会儿就到山上的时候我就预感可能被坑了。后来一查，松潘县城海拔2800多，五彩池海拔没记错旁边立的那个牌子的话也就3500多，这座山根本没多高，完全没感到什么高原反应，我从头到尾根本就没感觉累，所以①年轻人精力充沛②早上来的景区③自备干粮的话根本没有必要坐索道，徒步上山下山来回大约也就7个小时。这地方和青城山后山的唯一区别就是比青城山多了五彩池和各种池子，然后多了一百多门票，仅此而已。说真的，这些池子也就第一眼的时候比较惊艳，但是下山路上好多这种池子千篇一律，看多了就觉得没什么稀奇了。总之，170的门票我觉得贵了，至少对体力好的人来说，那80元的索道钱更是没必要，徒步上山，花个40块钱坐索道下山都比这个250强。,,,,
李某丶,259,4,2021.01.04,黄龙风景名胜区门票+上行索道（成人票）,风景很优美，去的时候到中午出太阳的时候确实很好看，就是累人呀,,,,
MQZ708263623,259,1,2020.10.05,黄龙风景名胜区门票+上行索道（成人票）, ,,,,
ems109921546,259,4,2020.10.16,黄龙风景名胜区门票+上行索道票（老人票，非法定节假日）,黄龙风景区很大 要仔细游览起码8个小时 景区门票加上行缆车的组合很合适游玩 就是天气不太好 阴天没下雨,,,,
Jenny崽,259,5,2020.10.20,黄龙风景名胜区门票+上行索道（成人票）, ,,,,
繁星蔓宇,259,3,2021.01.08,黄龙风景名胜区门票+上行索道（成人票）,还可以，还将就，还行，还不错，不算难玩,,,,
yy32449,259,5,2020.10.30,黄龙风景名胜区门票+上行索道（成人票）,套票价格与九寨沟差不多，但景色、设施与九寨沟相比要略逊一筹，景色虽有独特之处，但范围不大，门票加缆车价格偏高。,,,,
贝多芬的礼赞,259,4,2021.01.08,黄龙风景名胜区门票+上行索道（成人票）,好,,,,
匿名用户,259,4,2020.10.11,黄龙风景名胜区门票+上行索道（成人票）,我们上山的时候雾气很大，快走到五彩池的时候还下起了小雨，因为天气的原因五彩池拍的不是很漂亮，但是一路往下走真的是一路一景，越往下走天气越好，雨停了，真的是太漂亮了。只是可惜天气一直没有放晴，如果是大晴天会更美。,,,,
呵哈127,259,5,2020.10.05,黄龙风景名胜区门票+上行索道票（学生票）, ,,,,
PtG348905398,259,4,2021.01.04,黄龙风景名胜区门票+上行索道（成人票）,很不错的一次游玩，特别是水太美了！,,,,
z752536035,259,3,2020.12.30,黄龙风景名胜区门票+上行索道（成人票）,可以去一下，比较依赖于天气，阴天的黄龙和九寨真的差太多了。,,,,
DUs918539084,259,5,2020.10.05,黄龙风景名胜区门票+上行索道（成人票）,老板很热情给我升级成了豪华标间，房间干净宽敞，设施设备都很新，还设有地暖，床上用品高级卫生，窗外有高山流水，房间飘窗还备有茶台，酒店吃饭客人打7折，他家的牦牛肉汤河超级好吃，138元超大一锅，总的来说，非常满意！,,,,
EtI321046888,259,3,2020.10.29,黄龙风景名胜区门票+上行索道票(成人票）,幸运的我们遇上了雪后的黄龙！美得让你的呼吸都不自觉地放轻！,,,,
NeL915753149,259,4,2020.12.31,黄龙风景名胜区门票+上行索道（成人票）,很美，确实名不虚传,,,,
颖范儿,259,5,2020.10.03,黄龙风景名胜区门票+上行索道票（青少年票）, ,,,,
Oia803895991,259,5,2020.11.09,黄龙风景名胜区门票+上行索道（成人票）,美,,,,
妍一y1,259,3,2020.12.22,黄龙风景名胜区门票+上行索道（成人票）,就是累。非常累，风景漂亮，可是累的不要不要的,,,,
SCt205046892,259,5,2020.10.14,黄龙风景名胜区门票+上行索道（成人票）,瑶池本是在人间，堪笑凡夫安学仙；有路天堂通九寨，此中仙境任盘旋。,,,,
bDl846460031,259,4,2020.12.26,黄龙风景名胜区门票+上行索道（成人票）,习惯好评！,,,,
天际流星648,259,2,2020.11.29,黄龙风景名胜区门票+上行索道票（残疾人士）,去的时候是国庆，人也多天气也不好，最无奈的是排队，上的时候可以坐缆车，下的时候比想象中累多了，感觉像在爬山，整整一天累死了。景色一般般，但是也值得去一次,,,,
zjc0616,259,4,2020.11.08,黄龙风景名胜区门票+上行索道票（学生票）,国庆节人也不多，但是下索道后走的路太远了。,,,,
匿名用户,259,5,2020.10.16,黄龙风景名胜区门票+上行索道（成人票）,景区风景很美，美如画！其次设施齐全，游览体验很棒！,,,,
匿名用户,259,4,2020.10.07,黄龙风景名胜区门票+上行索道（成人票）,山上温度低，早上上山的时候我们都穿了羽绒服，当天天气很好，而且上山的风景很好看，尤其是下山的时候，路边随手一拍都是美景,,,,
UbQ35555654,259,5,2020.10.06,黄龙风景名胜区门票+上行索道（成人票）,黄龙这个地方真心不错，但是，自驾游的小伙伴，看天气，千万不要下雨去，因为兰墨线，泥石流，山体滑坡，封路堵车，会让你怀疑人生，从若尔盖绕过去路况还不错，但是时间非常久，晚上会下冰雹，而且缺氧，身体素质不好的小伙伴需要吸氧，再者黄龙和九寨沟是不同的景点，不要去一个放弃另一个，因为，风貌地质是完全不一样的！黄龙缆车上去的第一个景点其实不美，走下山的景色远远超过山顶的五彩池……,,,,
匿名用户,259,3,2020.10.31,黄龙风景名胜区门票+上行索道（成人票）,还可以，景色挺好的，值得来的地方，环境交通都还可以,,,,
HYd15230678,259,5,2020.10.12,黄龙风景名胜区门票+上行索道（成人票）,黄龙风景好。上去那天天气不能太好，看到雪山,,,,
匿名用户,259,4,2020.11.13,黄龙风景名胜区门票+上行索道（成人票）,风景很美，值得一游。,,,,
JHJ555,259,3,2020.10.16,黄龙风景名胜区门票+上行索道（成人票）,卫生很干净 风景很好 就是有点冷 海拔也高,,,,
老郭guo,259,4,2020.12.05,黄龙风景名胜区门票+上行索道（成人票）,很值得去，不一样的风景,,,,
墨染青衣颜Yn,259,2,2020.10.04,黄龙风景名胜区门票+上行索道（成人票）,风景不如九寨沟就算了。缆车到一个山脉，景点在另一个山脉！不喜欢徒步/爬山的就别来了！坐的缆车上山，想要看风景就只有走路下山，至少走7km！上下爬坡不是平路的7km！！唯一能看的就是这个五彩池，比起九寨沟的五彩池差多了！建议一定要走黄龙~九寨沟的国道，路上风景都比黄龙景区好看！,,,,
飓风传说,259,4,2020.10.06,黄龙风景名胜区门票+上行索道（成人票）,风景确实不错，非常漂亮，值得一看,,,,
YRd278522872,259,3,2020.10.08,黄龙风景名胜区门票+上行索道票（学生票）,天气不太好，老人走的有点累，和九寨沟两种风格，风景还是可以，值得一去,,,,
WOn787981191,259,3,2020.11.29,黄龙风景名胜区门票+上行索道（成人票）,不错不错，有机会还会去，这次是跟家人去的，下次跟朋友一起去,,,,
匿名用户,259,4,2020.10.11,黄龙风景名胜区门票+上行索道（成人票）,虽然天气不怎么好，但是景色真的很美，太值得了。,,,,
APL41284620,259,4,2020.10.05,黄龙风景名胜区门票+上行索道（成人票）,请至少当天的17点30分前购买,一家三口，第一次来黄龙，非常的幸运，在地震当天安全到达成都，极其幸运,,,
awW510295380,259,4,2020.10.02,黄龙风景名胜区门票+上行索道（成人票）,「争艳彩池」「金沙铺地」「莲台飞瀑」「五彩池」「娑罗映彩池」值得来一次，风景优美,,,,
迷失的旧梦,259,5,2020.11.21,黄龙风景名胜区门票+上行索道票（儿童票）,很美的景色，全家人去了都觉得非常漂亮，很值得一去，建议大家都去看看。,,,,
迷失的旧梦,259,5,2020.11.21,黄龙风景名胜区门票+上行索道（成人票）,不愧是5A级景区，景色非常迷人，我们全家都非常高兴，很值得一去。,,,,
APL41284620,259,4,2020.10.05,黄龙风景名胜区门票+上行索道（儿童/老人/学生票）,请至少当天的17点30分前购买,一家三口第一次去黄龙，接机小师傅给我们改变了行程，让我们地震时离开了黄龙，非常幸运,,,
BSA508701965,259,5,2020.10.05,黄龙风景名胜区门票+上行索道（成人票）,风景优美，非常喜欢，强烈推荐大家都去玩一圈,,,,
匿名用户,259,2,2020.10.02,黄龙风景名胜区门票+上行索道（成人票）,风景是可以，但是走路太累太累了，索道上去要走1.2个小时才到景点，五彩池还要爬个几百米才上得去，又高原反应的朋友上去真的很累，如果是阴天、五彩池一点也不好看、下面可以看图片，从这个景点往下走要走2.3个小时才能出去，如果想坐索道，要原路返回走个1.2个小时才能做，进退两难，太累太累了，下山路走得腰以下非常酸痛，体验感好差,,,,
微哥集团,259,1,2020.10.08,黄龙风景名胜区门票+上行索道（成人票）,很多道路封闭，景色也差，不如旁边牟尼沟，票价很贵，走路很远,,,,
匿名用户,259,3,2020.08.02,黄龙风景名胜区门票+上行索道票（学生票）,太累了，而且去的时候阴天下雨，没有太阳的折射反射，很不好看，什么颜色都没有。索道不修到五彩池附近，还要走很远。下山的时候已经累的怀疑人生了！学生票需要去售票处换票，没有提前告诉我们，跑了一个来回累死了。疫情期间吸氧处都不开放,,,,
SaJ474327812,259,5,2020.10.10,黄龙风景名胜区门票+上行索道（成人票）,刚好错过高峰期去的，风景超美的，很值得一看,,,,
zxd129012580,259,4,2020.10.09,黄龙风景名胜区门票+上行索道（成人票）,人间瑶池！相当漂亮！一生值得一去！,,,,
匿名用户,259,5,2020.10.05,黄龙风景名胜区门票+上行索道（成人票）,非常美丽！,,,,
awW510295380,259,5,2020.10.02,黄龙风景名胜区门票+上行索道票（青少年票）,值得来一次风景优美，来的时候一定要准备好吃的东西，上面的东西有点贵,,,,
K99999999999999,259,5,2020.08.18,黄龙风景名胜区门票+上行索道（成人票）,总体满意，就是想要来玩的朋友，建议别下雨天来，下雨天容易发生交通堵塞，泥石流，山体滑坡的情况，大晴天有太阳来好玩，景色好。出来玩跟团游或者自驾游，千万别在景点或者周围附近购物。价格太贵了，贵的离谱，这方面还请物价局好好查查,,,,
ZRQ768301768,259,3,2020.11.16,黄龙风景名胜区门票+上行索道（成人票）,国庆期间去的，还不错，但是比不上去九寨沟哈哈哈,,,,
rby694973988,259,5,2020.11.20,黄龙风景名胜区门票+上行索道（成人票）,好,,,,
banan小辣椒,259,1,2020.10.08,黄龙风景名胜区门票+上行索道（成人票）,没有啥服务，景区索道上去雾蒙蒙的啥也看不见，五彩池就黄黄的也没啥看头，走很远的路，特别累，主要来讲还是票价不值。真心不值。,,,,
rpp888969475,259,3,2020.10.28,黄龙风景名胜区门票+上行索道（成人票）,还可以，不过建议晴天去，我第二次去的，上一次是十多年前，那次夏天，下雨。这次阴天，雾气很重，五彩池的颜色不明显，水还不是很多,,,,
WQq504469549,259,1,2020.10.08,黄龙风景名胜区门票+上行索道（成人票）,五彩池，一半封路不让去，这么贵的门票结果就看这么个东西，还要走很远的路,,,,
ailulin糖果超甜,259,5,2020.08.14,黄龙风景名胜区门票+上行索道（成人票）,前几年去了九寨没到黄龙，今年没目的的旅行就转悠到这里了，只能说不虚此行！每个转弯都是美景，推荐路线是索道上山后从山上下来一路风景很美还一点不累，如果是爬上山，很多人就走不动了。,,,,
Angel龙兒,259,2,2020.10.12,黄龙风景名胜区门票+上行索道票（老人票，非法定节假日）,卫生间全部维修不让去，就游客中心一个？旅游巴士大马路上随便停没人管，来来网网车多很乱，免费缆车巴适排队随便加塞，还有黑车揽客，景点只顾挣钱没人维护。,,,,
dabo2133,259,5,2020.10.12,黄龙风景名胜区门票+上行索道（成人票）,还是很美的，秋季的颜色还是多彩的很漂亮,,,,
ZmX369250645,259,4,2020.10.02,黄龙风景名胜区门票+上行索道票(成人票）,景色还是非常好的，特别是在阳光下，水和树可观。,,,,
然然的妈2009,259,4,2020.10.09,黄龙风景名胜区门票+上行索道（成人票）,除了从茂县到松潘的国道要看运气外，里面景色很不错，值得一来，但一定要注意天气，和道路情况。,,,,
匿名用户,259,5,2020.11.16,黄龙风景名胜区门票+上行索道（成人票）,【环境】,,,,
ZZbaby711,259,5,2020.11.01,黄龙风景名胜区门票+上行索道（成人票）,风景不错，但去的那天是阴天，还下的小雨，没有看到好看的景色，有点可惜,,,,
XTz247221900,259,5,2020.10.31,黄龙风景名胜区门票+上行索道（成人票）,非常不错，乘索道上山，看五彩瑶池，走路下山，行程规划的不错,,,,
HiS886594223,259,5,2020.11.08,黄龙风景名胜区门票+上行索道（成人票）,挺好,,,,
lNN622013553,259,3,2020.10.18,黄龙风景名胜区门票+上行索道（成人票）,累，就是累，但是小松鼠很可爱，会找人来玩，记得带点坚果哦，一路上见了十几只松鼠，还有的爬到身上来，不认生，很可爱,,,,
Ly58983.,259,4,2020.11.02,黄龙风景名胜区门票+上行索道（成人票）,景区不错 票价不值,,,,
舍得居士,259,3,2020.10.28,黄龙风景名胜区门票+上行索道（成人票）,风景区还不错，但服务设施不行，周围只有大宾馆没有经济行酒店。,,,,
ktl461332376,259,5,2020.08.26,黄龙风景名胜区门票+上行索道（成人票）, ,,,,
bTU847128779,259,2,2020.10.03,黄龙风景名胜区门票+上行索道票（青少年票）,250的门票，其实就是坐个缆车到半山腰，再走上去，然后再从最顶再走下来。全程都在看溪水流和一些池子，关键是得走半天看半天！感觉不值这个价……没得毕棚沟好耍,,,,
wanggong78,259,5,2020.08.23,黄龙风景名胜区门票+上行索道票（学生票）,去的时候天气晴朗刚好赶上个好天气，前几天都一直在下雨，景色太美了！！！,,,,
kNC360673550,259,1,2020.10.03,黄龙风景名胜区门票+上行索道（成人票）,我为什么要这么耐心的给一个个差评，真的是被气到了，排队一小时坐缆车上来还要走路一小时才能看到景色，那你修缆车意义什么？骗钱？上来后要看风景加起来走个五公里。还没什么风景。,,,,
kNC360673550,259,1,2020.10.03,黄龙风景名胜区门票+上行索道（成人票）,黄龙和九寨是怎么配齐名的？一个天上一个地下，黄龙唯一能看的就是一个五彩池，还要坐缆车上来后走三公里。除此之外毫无景点可言。花了两百五你让我来上山健身呢？,,,,
VCP817727328,259,4,2020.10.25,黄龙风景名胜区门票+上行索道（成人票）,设施齐全，交通方便，走路也不算累，线路安排合理，景区很不错。,,,,
dabo2133,259,5,2020.10.12,黄龙风景名胜区门票+上行索道（成人票）,人间瑶池黄龙，有点高反了,,,,
