id,价格,评价,评价日期,票务类型,评论,,,,,,
qfb504770719,519,3,2021.10.31,黄山风景区门票南大门成人票（云谷索道方向）,服务周到，值得一去，为什么必须要评价这么多字,,,,,,
文采小虎,519,4,2021.10.13,黄山风景区门票南大门成人票（云谷索道方向）,第一次爬黄山，都是慕名而来，天气晴空万里，欣赏山体与植被，一目了然，可以看不到云雾缭绕的神奇景观，期待下次攀爬。,,,,,,
kMS687735582,519,3,2021.10.04,黄山风景区成人票,黄山很大，没有全部走完，最高的那个峰没有轮到开，所以下次五年后估计还得再去一次啦！但是体力一定要跟上。否则山势险峻，爬一趟真心累。,,,,,,
xZv707868257,519,5,2021.09.24,黄山风景区门票（成人票）可二次入园,请至少当天的16点前购买,山有点高，但是很美很美，看了日落和日出，喜欢,,,,,
ove520k,519,5,2021.06.24,黄山风景区门票南大门成人票（云谷索道方向）,黄山很值得一来，我们去的时候准备了食物，准备在山上过夜看日出，因为从后门上的，没有丢下行李，一直背着，到下午爬下西海大峡谷坐了小火车又爬莲花峰，迎客松，就体力不支持了，直接坐玉屏索道下山啦，黄山很美，要少带东西，保持体力，水山上有40℃温开水，自己带杯子，吃的介意带一点，自嗨锅，方便，管饿，希望我的这次旅行可以给您带来更好的黄山之旅！,,,,,,
cvI981217644,519,3,2021.09.24,黄山风景区成人票,设施有待完善（上山路上没有遮风挡雨亭子），服务一般（问工作人员路爱搭不理）,,,,,,
匿名用户,519,5,2021.10.31,黄山风景区玉屏索道下行成人票,二次登黄山，这是我旅游后去了一次还想再去的地方！,,,,,,
皮卡丘的幸福哈皮,519,5,2021.08.18,黄山风景区门票南大门云谷索道方向优待票（老人/学生票/儿童）,还是四月中旬去的黄山，旺季人很多，一行四个人从学校出发，两个半小时到达黄山脚下，自驾游就是这点好处省时间，省去了到黄山站还要坐大巴过来的旅途劳顿，风景很美丽，去了安徽最高峰莲花峰，风景宜人，景色秀丽，唯一可惜的就是没看到黄山云海。。。。有机会还会再去一趟,,,,,,
Wln400973167,519,4,2021.09.08,黄山风景区成人票,风景吧不错，最重要的是看好天气预报。,,,,,,
xDV867136156,519,3,2021.10.21,黄山风景区成人票,风景可以就是被一个停车场给宰了，还找不到地说理去，瞬间给游玩滴心情给磨灭了,,,,,,
值班工程师88,519,5,2021.10.31,黄山风景区成人票,来了两次黄山，还是意犹未尽，还要再来！,,,,,,
gVZ711002898,519,5,2021.09.01,黄山风景区云谷上行索道票-成人票,太美啦「西海大峡谷」「迎客松」「飞来石」「黄山光明顶」,,,,,,
MiK704250238,519,5,2021.07.30,黄山风景区门票南大门成人票（玉屏索道方向）,我们看了攻略，后山出发的，从云谷寺坐索道上去，感觉这次挺好的也不累，玩一天，如果想看日出可以住一晚第二天看日出。莲花峰和百步云梯有点累以外，其他感觉挺好的，有机会还想再去玩一下，整个爬山自己规划好路线，游览下来感觉很好，这种自然风光可以不需要导游，自己玩是最好体验。,,,,,,
逍遥南宫JM,519,5,2021.10.29,黄山风景区门票南大门成人票（云谷索道方向）,还不错,,,,,,
iSE791023998,519,5,2021.08.07,黄山风景区门票南大门云谷索道方向优待票（老人/学生票/儿童）,真的很美，黄山，在毕业的时候和我的大学室友一起去的，到现在想起来都有一点怀念，从这个索道上去之后，有两条路分支，可以自行选择一条路继续旅行，其中大力推荐步仙桥，自己徒步爬山的话真的是人生一个考验啊，感觉很棒。,,,,,,
zSF302038219,519,1,2021.10.28,黄山风景区门票南大门成人票（玉屏索道方向）,服务差，各种各样收费，价格高，不建议来！,,,,,,
呱呱太先生,519,5,2021.08.09,黄山风景区门票成人票（旺季）,时隔几年的评论，只记得一线天太陡，很刺激，莲花峰好高，一句路爬上去腿都快折了，猴子观海刚看一半，就被云遮住了，日出没看全，至于光明顶这种，对我来说难度不大，所以没啥印象了路上碰到的人都很好，因为我和同学住帐篷，有建议我们去宾馆洗个澡的阿姨，有帮我们装温水的工作人员，当然稍微也有一两个故意抬高价的（当时想租被子来着）无论怎么说，整体的体验非常好，无论自然景观，还是游客，工作人员之间的互动本来想发照片的，时隔太久，手机照片一时半会也找不到了，不过黄山奇景多，自己去领略吧，会更生动，更秀丽，更壮观,,,,,,
如若初见0326,519,5,2021.11.02,黄山风景区门票南大门云谷索道方向优待票（老人/学生票/儿童）,流连忘返……,,,,,,
GXW6525667,519,4,2021.10.24,黄山风景区成人票,总体很漂亮，是个令人放松的地方,,,,,,
WJL的MT,519,4,2021.10.25,黄山风景区门票南大门玉屏索道方向优待票（老人/学生/儿童）,安全性有保障，风景优美，价格有点小贵,,,,,,
梅傲雪831,519,4,2021.10.31,黄山风景区门票南大门成人票（云谷索道方向）,非常棒，值得一看,,,,,,
vmA378570355,519,4,2021.10.05,黄山风景区门票南大门成人票（云谷索道方向）,1、西海大峡谷的风景相当给力。2、日出，云海很壮观。3、最好能在山上入住，可以看到日落和日出。4、可以坐小火车，千万别爬上去，要半条命。,,,,,,
你是skr什么东西,519,5,2021.09.10,黄山风景区门票南大门云谷索道方向优待票（老人/学生票/儿童）,黄山是真的好看，但是爬完黄山的我，也真的成了残疾人。快死了都，腿已经不是我的了,,,,,,
gVZ711002898,519,5,2021.09.01,黄山风景区门票南大门成人票（玉屏索道方向）,天下奇石第一山风景特别美,,,,,,
匿名用户,519,3,2021.10.14,黄山风景区门票南大门成人票（玉屏索道方向）,景区里面的景点是不错，就是附近饭店真的是绝了，住店必须吃他们饭，饭也就那回事，还贵的跟啥一样，,,,,,,
十七ss,519,5,2021.10.29,黄山风景区成人票,不错，蛮好的,,,,,,
zTF958452016,519,1,2021.06.16,黄山风景区成人票,1、游黄山时逄下雨起风，上山沿路攀登，看雾看风又看雨，迷茫迷路又迷松。山上乌烟浮瘴气，山下空气好清新。2、最令感触的住宿，一路上山风雨交加，汗水雨水傻傻分不清，飞猪旅行订701台招待所，订单上注明免费提供洗漱用品，以及免费无线上网、电视等服务，6人/间，上下铺。但到了招待所却告知没有，要喝水需要自带杯子，找前台服务员要一次性杯子，被告知不提供，房间却是10人/间，上下铺，到房间想冲凉，另外一位游客告知，没脸盆、没桶、没毛巾，自认倒霉，但心里心不舒服，又去前台找服务员看什么卖的，一看价格，农夫山泉500毫升，15元，心里舍不得买，正好经理过来，笫二次找他要杯子，才给了一次性杯子一个，还告诉我说，保密。,,,,,,
urW422344048,519,5,2021.10.03,黄山风景区门票南大门成人票（云谷索道方向）,【环境】这就不用说了，黄山嘛【交通】交通便利【项目】看风景,,,,,,
bht0678,519,5,2021.08.12,黄山风景区门票南大门玉屏索道方向优待票（老人/学生/儿童）,黄山风景区就不在现场卖门票，必须至少提前一天在网上购票，后面的玩家一定要注意，当天游玩黄山是买不到门票的。我在好多APP上查找黄山风景区的门票，居然都是原价售卖，只有美团提供5元的优惠券，能省点就一定要省，购买，入园非常顺利快速。,,,,,,
Lts151463736,519,4,2021.10.01,黄山风景区门票南大门成人票（云谷索道方向）,门口就有停车位非常方便，而且从进门开始就感觉到舒适，环境分给到5分！冲着薅羊毛的心来的，第一次来没想到这么惊喜，以后有空了一定再来！,,,,,,
栗子小呀么小,519,3,2021.10.27,黄山风景区门票南大门成人票（云谷索道方向）,恐高，不知道评价说什么，太高了,,,,,,
SebastianRyan,519,5,2021.08.31,黄山风景区玉屏索道上行 - 成人票,一百分。,,,,,,
YJYJTYJ520,519,5,2021.10.27,黄山风景区门票南大门玉屏索道方向优待票（老人/学生/儿童）,登黄山，天下无山！,,,,,,
匿名用户,519,5,2021.10.09,黄山风景区门票南大门玉屏索道方向优待票（老人/学生/儿童）,推荐，值得一玩,,,,,,
TCD366523953,519,5,2021.07.07,黄山风景区门票南大门成人票（玉屏索道方向）,景色真的很好，手机拍不出那种美景，毕竟我不专业，但是，实在太好看了，登黄山者，天下无山，防晒一定要做好，多带点水，山上卖东西的地方不多，还贵，毕竟都是挑夫挑上去的，贵也能理解，酒店送的拐棍，真香，没有拐棍真的走路太难了，下山后感觉腿脚都不是自己的了，不过值了，不虚此行,,,,,,
chuntian1670,519,4,2021.10.21,黄山风景区门票南大门成人票（云谷索道方向）,不错，黄山景美人美，设施蛮好，一切都好,,,,,,
creampipi,519,3,2021.10.04,黄山风景区门票南大门成人票（云谷索道方向）,一天根本玩不过来 很多景区都可几天多次入园 景区内住宿有限价格高 黄山这门票贵还不合理,,,,,,
章亮亮1996,519,4,2021.08.26,黄山风景区门票南大门成人票（玉屏索道方向）,黄山是真的很壮阔，唯一的遗憾就是今天居然大雾好多景点都看不到，莲花峰也看不到，希望下次有机会再来看一次！,,,,,,
匿名用户,519,5,2021.10.23,黄山风景区成人票,大美黄山，天下第一。丹霞日落，黄山第一,,,,,,
aCT894487865,519,5,2021.10.23,黄山风景区门票南大门成人票（云谷索道方向）, ,,,,,,
南湘曰落,519,3,2021.10.20,黄山风景区门票南大门成人票（云谷索道方向）,爬山提示的时间不准确，差的太多太多了,,,,,,
匿名用户,519,1,2021.10.04,黄山风景区门票南大门成人票（云谷索道方向）,服务一般，比较生硬，另外多人在窄路上拥挤，容易造成危险，建议多安排工作人员在重要位置值守。,,,,,,
当我爱上上你,519,5,2021.10.23,黄山风景区玉屏索道上行 - 成人票,方便，快捷,,,,,,
当我爱上上你,519,5,2021.10.23,黄山风景区玉屏索道上行 - 成人票,快捷  方便,,,,,,
tczhuna,519,2,2021.10.18,黄山风景区门票成人票（旺季）,个人觉得不咋地，山太秃，只会去这一次。,,,,,,
bZB311230034,519,3,2021.10.15,黄山风景区门票南大门云谷索道方向优待票（老人/学生票/儿童）,上海过去的，这是第一次去黄山，被山上的风景震撼住了，非常壮观,,,,,,
LKi176664647,519,5,2021.10.18,黄山风景区成人票,超级美超级美！一生中必须要体验一次黄山的美呀！,,,,,,
爱吃喝的旅行者,519,4,2021.07.24,黄山风景区成人票,冬天上黄山才是正解，平常365天有200多天大雾天气，那就不叫看风景了，纯打卡爬山而已，劝各位朋友查好天气，经验之谈。附两次上黄山无p图实拍,,,,,,
iCh276838938,519,2,2021.10.17,黄山风景区门票南大门成人票（云谷索道方向）,定了3张票，有一个朋友有事儿没去，没有退我钱,,,,,,
我的沺晞,519,5,2021.07.26,黄山风景区门票南大门成人票（玉屏索道方向）,想要先打卡迎客松的可以选择一下玉屏索道上去，走几步就到了，带小孩我感觉蛮好的从这里开始打卡几个有名气的大景点，如果住在山顶就不建议乘玉屏索道,,,,,,
匿名用户,519,4,2021.10.18,黄山风景区门票 - 老人票,去了还想去，除了山上住宿贵，都很满意。,,,,,,
vJA196739349,519,1,2021.10.04,黄山风景区门票南大门云谷索道方向优待票（老人/学生票/儿童）,都说好玩一去看啥都没有，在景区里面玩停个车一小时10块也就算了，超过4个小时还要加10一个小时，太坑人了,,,,,,
匿名用户,519,4,2021.10.18,黄山风景区门票成人票,下次去要住山上感受一下。值得多次去。太美。,,,,,,
sxw211766165,519,5,2021.10.20,黄山风景区云谷上行索道票-成人票,好,,,,,,
sxw211766165,519,5,2021.10.20,黄山风景区门票南大门成人票（云谷索道方向）,好,,,,,,
孔小庄,519,3,2021.10.10,黄山风景区门票南大门成人票（云谷索道方向）,感觉还行吧，为什么非得15字呢，那我就说还是华山好玩,,,,,,
MJD166948989,519,5,2021.08.13,（金9惠乐周）黄山风景区门票成人票,请至少提前16小时购买,身为安徽人第一次去黄山。老爸一直想去黄山。想着这次黄金周门票便宜带爸妈和老弟一起看看。果然不虚此行，风景太好了，果然不负那句，五岳归来不看山，黄山归来不看岳。被祖国的大好河山震撼，爸妈全程都很开心，下次要带宝宝来一次,,,,,
哎呦我的孩来,519,5,2021.07.19,黄山风景区门票南大门成人票（云谷索道方向）,黄山非常漂亮，可惜的是没看到云海，因为是第一次去，而且是自由行，没有导游，所以也不知道当天的天气是属于好还是不好，玩了一天，虽然做了索道也还是很累。本来第二天票还可以进山，但是太累了就没去。留着下次去吧,,,,,,
WeG187791579,519,1,2021.10.08,黄山风景区门票南大门玉屏索道方向优待票（老人/学生/儿童）,看不到宏村的影子了，花94元逛了一条商业街，除了书院没改为商店，,,,,,,
BG785785,519,5,2021.08.15,黄山风景区门票南大门成人票（玉屏索道方向）,设施完善 风景优美 推荐结伴旅去旅行。,,,,,,
piK552317570,519,5,2021.08.03,黄山风景区门票南大门成人票（云谷索道方向）,「西海大峡谷」「北海景区」「莲花峰」「鳌鱼峰」风景确实很好看，莲花峰最高峰，景色很漂亮，就是爬山太累了，建议大家北门上，南门下，那样不会很累，,,,,,,
oGH239908960,519,4,2021.10.15,黄山风景区成人票,一般的管理，风景秀丽,,,,,,
匿名用户,519,4,2021.10.17,黄山风景区门票 - 学生票,挺好的,,,,,,
UaM823718170,519,4,2021.10.17,黄山风景区成人票,挺好,,,,,,
XTW637595123,519,2,2021.09.28,黄山风景区门票(成人票),爬黄山真是个错误的选择，真真的是在爬，一路上也没其他什么意思，除了山就是树。门票还那么贵，都不包含索道,,,,,,
ngL755832277,519,5,2021.10.08,黄山风景区门票南大门成人票（云谷索道方向）,价格和景区一样，送的门票卷当天用不成，景区不错。,,,,,,
倾听雨声448,519,5,2021.09.05,黄山风景区门票南大门玉屏索道方向优待票（老人/学生/儿童）,一个挺不错的旅社，和朋友一起来宏村黄山这边玩，这家旅店给我的惊喜不亚于，黄山宏村的风景，店长人很好，给我们规划旅游线路，晚上在这里唱歌玩狼人杀，很适合年轻的朋友们来住，强烈推荐！,,,,,,
zWD325642397,519,5,2021.10.12,黄山风景区云谷上行索道票-成人票,很好，很方便，风景很美的,,,,,,
wXa101111528,519,1,2021.10.07,黄山风景区门票南大门成人票（云谷索道方向）,我们4号中午刚到南门就被工作人员领去停车，停车费80块，就停了4个小时,,,,,,
tVu862468543,519,5,2021.10.14,黄山风景区门票南大门玉屏索道方向优待票（老人/学生/儿童）,就选这个方向，强烈推荐,,,,,,
ruc811160188,519,3,2021.10.12,黄山风景区成人票,还可以吧，麻烦，哪有这么多评论字,,,,,,
魔鬼与猫,519,5,2021.10.02,黄山风景区门票南大门玉屏索道方向优待票（老人/学生/儿童）,索道平缓，惊险刺激，玉屏索道和云谷索道景色各有不同,,,,,,
黄桥北路董欣店,519,1,2021.09.23,黄山风景区门票南大门成人票（玉屏索道方向）,黄山旅游注意事项，体验感非常不好,,,,,,
冷暖自知3992,519,2,2021.10.04,黄山风景区门票南大门成人票（云谷索道方向）,如果推出联票就更好了，就直接买一张票解决上山客车，缆车，门票就好了。,,,,,,
zlh109752228,519,5,2021.10.08,黄山风景区门票南大门成人票（云谷索道方向）,索道很长，有点恐高；景色如画，景点多,,,,,,
SYB978390869,519,5,2021.10.14,黄山风景区成人票,环境很好，,,,,,,
XDk900188907,519,1,2021.09.25,黄山风景区门票南大门玉屏索道方向优待票（老人/学生/儿童）,大姐千万不要到山脚下买，缆车，大巴车，他会收人工费，会多几十块钱，好垃圾，在手机上买，一定要在手机买一定,,,,,,
Izn465542445,519,3,2021.10.10,黄山风景区门票南大门成人票（云谷索道方向）,还可以吧，有机会再去，下次玩巴所有景点！,,,,,,
TaA191369673,519,5,2021.07.23,黄山风景区门票南大门成人票（云谷索道方向）,景区很大，山上的石头上长出很多不同的松树，很特别.景色秀丽迷人，强烈推荐，值得一去.,,,,,,
匿名用户,519,1,2021.10.05,黄山风景区门票南大门玉屏索道方向优待票（老人/学生/儿童）,索道太高人太多不好玩拼体力 不建议人多的时候来,,,,,,
打领结的狗狗,519,5,2021.10.10,黄山风景区云谷上行索道票-成人票,不错，可以省很多体力,,,,,,
A初恋无限好A,519,5,2021.07.16,黄山风景区门票成人票（旺季）,开心，下次再来，风景名胜名不虚传，就是爬山太累了，腿疼死了……一样一样有很多小细节小视频分享自用户体验到的新一季新电影上映吧……在乎我们多一点时间吧……还行吧还是我看你怎么知道这个角色怎么这么好看为什么这么好看怎么,,,,,,
kMS687735582,519,3,2021.10.04,黄山风景区云谷上行索道票-成人票,黄山真的挺美的，山势险峻，请注意脚下。我就扭到了。,,,,,,
CVN212158188,519,3,2021.07.06,None,第一天网上订票预约，第二天早上汽车站换乘大巴到玉屏索道，换乘点旅客特别多，因为下雨买了雨衣鞋套从玉屏索道上山，山上全是白雾，风又大什么迎客松啊其他景观啊全凭导游介绍；山上宾馆日用品还是用原始的方式挑上山；,,,,,,
叁秒钟的回忆,519,5,2021.08.18,黄山风景区成人票,风景真的很棒。超值。还会去第二次,,,,,,
敏920905,519,4,2021.10.09,黄山风景区门票南大门成人票（云谷索道方向）,果然不虚此行，全程惊喜连连,,,,,,
Sunshine.；,519,2,2021.08.11,黄山风景区门票南大门成人票（云谷索道方向）,天气不好，山上雾大，还是有点小遗憾吧,,,,,,
懒人推动世界进步,519,3,2021.10.07,黄山风景区门票南大门成人票（云谷索道方向）,5.1人太多了 山上风景倒是不错,,,,,,
miwe66,519,2,2021.10.04,黄山风景区门票南大门成人票（云谷索道方向）,就是爬了个寂寞。门票给的一点意义都没有！,,,,,,
VzS98388684,519,3,2021.10.08,黄山风景区门票南大门成人票（云谷索道方向）,风景很美，步行上山是一种不同体验,,,,,,
好吃就多吃点好了,519,4,2021.10.03,黄山风景区门票南大门成人票（云谷索道方向）,最主要的是方便服务也还好，比到跟前排队要快一点,,,,,,
凤之健1214,519,3,2021.10.08,黄山风景区门票南大门云谷索道方向优待票（老人/学生票/儿童）,玩的很开心，下次还会去爬山，加油,,,,,,
uRN15778767,519,3,2021.10.07,黄山风景区门票南大门成人票（云谷索道方向）,节假日人太多了，爬到峰顶没发下来,,,,,,
mLB641128177,519,4,2021.10.08,黄山风景区门票南大门玉屏索道方向优待票（老人/学生/儿童）,设施齐全  干净整洁,,,,,,
糖丫丫thn,519,2,2021.10.06,黄山风景区玉屏索道上行 - 成人票,有点小贵，比较失望，风景一般吧！,,,,,,
姚月YY,519,3,2021.10.05,黄山风景区云谷上行索道票-成人票,还不错哦，就是好害怕啊。。。。。。,,,,,,
xlO899673929,519,4,2021.09.19,黄山风景区门票(成人票),景色很美，交通也很方便。但景区内吃的东西比较贵！还有就是一天下来双腿太累！一定注意保存体力。,,,,,,
RAc424240413,519,4,2021.10.04,黄山风景区门票南大门成人票（云谷索道方向）,腰力，腿力，不行千万别去，有毅力可以挑战下自己,,,,,,
evA867134823,519,4,2021.10.04,黄山风景区门票南大门成人票（云谷索道方向）,爬到高处风景很好，但是腿要累断了,,,,,,
章亮亮1996,519,4,2021.08.26,黄山风景区门票南大门成人票（玉屏索道方向）,以前都是在手机上看的，只有身临其境才知道黄山的壮观雄伟！强烈推荐来看看,,,,,,
匿名用户,519,5,2021.10.04,黄山风景区云谷上行索道票-成人票,网上购买真的很方便。,,,,,,
匿名用户,519,5,2021.09.02,黄山风景区成人票,去的时候下雨了，雾风雨都很大，啥也看不见，只有冷冷的冰雨在脸上胡乱的拍。看不见黄山的壮丽风景。更恼人的是第二天就放晴了，还有好看的云海，但是我们已经没有力气再去第二次了,,,,,,
pzY545848052,519,5,2021.08.17,黄山风景区玉屏索道上行 - 成人票,黄山不愧是名山大川，不虚此行,,,,,,
wei么么,519,1,2021.10.03,黄山风景区门票南大门成人票（云谷索道方向）,我买的学生票都不系统检测，直接扣掉了我的全票,,,,,,
bya654528885,519,2,2021.05.30,黄山风景区门票南大门成人票（云谷索道方向）,感觉去黄山一趟好贵，门票收费，缆车上去下来又是要门票，还要另外买车票。车票一趟就20左右吧好像，爬山很累，建议要去玩的伙伴，提前做好攻略，最好是山上住一晚，不然爬不完黄山。但是山上景色还是可以。10月份去，天气还好。那天去干粮备的有点多，个人不建议拿那个柱丈，我感觉拿着是累赘吧。总体来说，还是不错的，就是没有提前做攻略。感觉玩的很匆忙。下山没有买缆车票，走了将近2-3小时好像。我们又是摩托自驾游。早上一大早上山，下午差不多赶下来往杭州去。好累，脚痛了整整好几天。反正要去爬山，首先天气吧，下雨肯定不好。再一个就是提起做好攻略，规划一下怎么爬。一天的时间肯定是爬不完。,,,,,,
oaK918201630,519,1,2021.07.15,黄山风景区成人票,我要投诉，7/10号晚上我预订了5张门票，因门票购买时显示地址为黄山风景区（5A）门票，后来发现我们住的附近是南大门，然后退掉之前的，买了黄山风景区南大门的票，结果商家推美团，美团推商家，退票要扣40％违约。请问我们怎么违约了？我们不是去了吗？难道你们景区就这么坑客户的吗？,,,,,,
匿名用户,519,5,2021.10.04,黄山风景区云谷上行索道票-成人票,好评,,,,,,
hwI583394715,519,3,2021.10.05,黄山风景区云谷上行索道票-成人票,第一次去，整体都感觉很不错…………,,,,,,
人生路Xu,519,3,2021.10.03,黄山风景区云谷上行索道票-成人票,出来出来喝茶了出来距离距离超级好吃客户,,,,,,
sds52324193,519,5,2021.10.08,黄山风景区云谷上行索道票-成人票,好,,,,,,
sds52324193,519,5,2021.10.08,黄山风景区成人票,好,,,,,,
汜拾舞,519,5,2021.07.02,黄山风景区玉屏索道上行 - 成人票, ,,,,,,
匿名用户,519,5,2021.09.30,（次日离场）黄山南大门立体停车场不过夜停车券,服务很好，有问题及时解决,,,,,,
NewAlexMahone,519,3,2021.09.30,黄山风景区门票成人票,不知道这张票有没有使用，景色不错哦,,,,,,
BPw43466210,519,5,2021.10.05,黄山风景区云谷索道上行成人票,非常值得一去的景点！！,,,,,,
Pxq817325844,519,5,2021.10.07,黄山风景区门票南大门成人票（云谷索道方向）,好,,,,,,
夏幕Lee,519,5,2021.09.28,黄山风景区门票南大门成人票（云谷索道方向）,爬山是真的累 只能靠索道上下 腿基本废了,,,,,,
EyS313317031,519,5,2021.06.14,黄山风景区门票南大门云谷索道方向优待票（老人/学生票/儿童）,环境真的很棒，房间虽然是四人间但是布置的不low，比较简约，床单被罩自己套，但是每个住宿的房客都可以睡干净的被窝，不过没有牙刷牙膏和毛巾，从旅社买也很便宜。二楼还有很多桌子及书架，真的有书可以看，一楼卖的有酒及生活用品和特产，价格实惠，晚上八点还有老板讲黄山游玩攻略就很贴心，老板人也很好。去登山还免费借用店里拐杖，就很奈斯，强烈推荐。,,,,,,
ICE.冰,519,4,2021.10.01,黄山风景区玉屏索道上行 - 成人票,不错，看起来很雄伟，赞一个,,,,,,
维嘉v,519,5,2021.07.24,黄山风景区门票南大门玉屏索道方向优待票（老人/学生/儿童）,黄山景区真的我我见过最成熟的一个景区，从你到站的那一刻起，景区服务就开始了，黄山人民也都特别好，风景就更别说了，太美了,,,,,,
wxc366886641,519,5,2021.10.06,黄山风景区门票南大门成人票（云谷索道方向）,很好，五分,,,,,,
GMG688153342,519,2,2021.10.02,黄山风景区门票南大门云谷索道方向优待票（老人/学生票/儿童）,没雾时一般（凑字凑字凑字凑字）,,,,,,
匿名用户,519,2,2021.09.15,黄山风景区门票南大门成人票（玉屏索道方向）,风景很漂亮，汤口村的村民特别差，脑子有包，特别恶心，特别强势，让我不要去了，不按她们的路线走就不要让我们上去了，特别无语，恶心，,,,,,,
InM467743961,519,4,2021.10.01,黄山风景区门票南大门成人票（云谷索道方向）,登上黄山最高峰，很累，很好玩,,,,,,
FCu535678312,519,5,2021.10.04,黄山风景区门票南大门成人票（云谷索道方向）,风景独特，值得一去,,,,,,
beH643558012,519,5,2021.10.03,黄山风景区成人票, ,,,,,,
_qqkh81353543446,519,1,2021.09.23,黄山风景区登山三宝（登山杖+雨衣+地图）不限人群票,我都没用，怎么还把钱给商家了？，那么大个景区，位置怎么找？打了电话也没人接。,,,,,,
Hlm252347230,519,3,2021.10.04,黄山风景区门票南大门玉屏索道方向优待票（老人/学生/儿童）,很不喜欢不吃不吃不吃不擦还不错,,,,,,
Anna2019zhuzhu,519,4,2021.08.01,黄山风景区门票南大门成人票（云谷索道方向）,好玩！风景壮观！带孩子居然也走完了全程！,,,,,,
Oeh193211036,519,4,2021.07.23,黄山风景区门票南大门成人票（玉屏索道方向）,黄山归来不看岳，大峡谷挺好的，还有光明顶也好看,,,,,,
匿名用户,519,4,2021.09.25,黄山风景区成人票,很不错，雨天去，第二天天气晴朗 还是可以看到云海,,,,,,
gGr303628631,519,4,2021.09.17,黄山风景区门票南大门成人票（云谷索道方向）,我就喜欢爬山 徒步越难越喜欢 徒步泰山上下四个小时 华山上八小时 黄山南门前上后下七小时 就有点小腿胀痛。。。。,,,,,,
尚书祭酒,519,5,2021.07.19,黄山风景区门票南大门成人票（玉屏索道方向）,疫情期间人流量不是很大，很辛苦但是很满意的旅程，大美黄山，我还会再去的……,,,,,,
埃之,519,5,2021.05.07,黄山风景区门票南大门成人票（云谷索道方向）,【环境】这次来黄山正好赶上下一整天大雨，全程雾蒙蒙的几乎什么也看不到，能见度大概只有20米左右。但是即使是这样，还是叹服于黄山大自然的鬼斧神工。另外下雨游客少，也不晒，穿好雨衣雨裤鞋套爬起来还是很舒适的。【交通】需要先坐大巴从寨西到索道，如果选择自己走的话大概需要八个小时……还是选择大巴+索道吧。我们从后山坐云谷索道上，走到西海大峡谷谷底，坐网红小火车上到山顶，再从光明顶返回坐玉屏索道下山。下了玉屏索道之后也是坐大巴回寨西。寨西是换乘总站，除了去山上还可以去黄山北站、宏村等等其他地方。【项目】一直在爬山……因为大雾坐索道和小火车看不到什么东西，但是目力所及的景色还是很好的。,,,,,,
旅行0美食,519,4,2021.06.18,黄山风景区成人票,19年十一去的，山不错，人是真的多，推荐大家错峰出行而且黄山的冬天能看到雾凇，会更漂亮。「黄山光明顶」「云谷索道」一定要缆车上去，台阶太多了，很累，特别是膝盖不好的。还有就是西海大峡谷很远，先想想自己体力行不行再决定去。反正我要再去肯定选缆车上下。下车了也要爬很久呢,,,,,,
陶雨竹,519,3,2021.09.30,黄山风景区门票（成人票）可二次入园,请至少当天的16点前购买,人太多了，一天都在排队，也是没谁了，,,,,,
Prt677467281,519,5,2021.08.13,黄山风景区成人票,风景很美，山顶天气变幻莫测,,,,,,
mylovelink,519,3,2021.09.07,黄山风景区成人票,我和老婆提前一天单上没有碰到雾，风景很秀美。第二天早上就起雾了，看日出也没看到，爸妈也是第二天上山的，在山上就是云山雾绕，也看不出什么名堂。,,,,,,
MJD166948989,519,5,2021.07.12,黄山风景区云谷索道上行成人票,五岳归来不看山，黄山归来不看岳。这句话真的是太对了，带爸爸妈妈弟弟一起来黄山游玩，真的时时刻刻被黄山的风景震撼到。上去的时候做的索道，人很多。不过排队也很快。下来的时候走路下来的，累坏了，这是最失算的。就该坐索道下来的,,,,,,
ebf428146728,519,5,2021.09.21,黄山风景区成人票,很不错，去过两次，看流星看风景都很好，徒步爬山也比较轻松,,,,,,
未果965,519,3,2021.09.08,黄山风景区门票南大门成人票（玉屏索道方向）,风景真的很好看，就是太累了，不过难得出来玩一次，值得，千万不要相信景区外面的订购门票或者上山巴士之类的,,,,,,
彭媛_,519,5,2021.09.23,黄山风景区门票南大门成人票（玉屏索道方向）,风景很不错，徒步上山下山，很多地方没时间去，推荐,,,,,,
OAK738688766,519,5,2021.09.07,黄山风景区门票南大门玉屏索道方向优待票（老人/学生/儿童）,夏天避暑的好地方，可惜没有赶上好天气,,,,,,
KNT139708437,519,4,2021.09.30,黄山风景区门票(成人票),风景很好,,,,,,
铭博教育林,519,5,2021.09.19,黄山风景区成人票,提前团购的券，非常划算，周边吃喝玩乐的地方也很多，非常便捷，风景非常好,,,,,,
匿名用户,519,3,2021.07.07,黄山风景区云谷上行索道票-成人票,索道还是不错的体验 节省了体力 尤其是带着孩子的 更为首选  能见度就得看天气了  我们上去的时候天气不好啥都没看到 下山的时候还是不错的 美景尽收眼底,,,,,,
匿名用户,519,5,2021.09.26,黄山风景区门票南大门成人票（云谷索道方向）,非常好用建议大家都使用，非常方便快捷,,,,,,
金鑫成堆,519,3,2021.09.23,黄山风景区门票南大门成人票（云谷索道方向）,挺好，很实惠，推荐朋友去玩一玩，,,,,,,
白桦林20,519,5,2021.09.06,黄山风景区玉屏索道上行 - 成人票,非常美丽地方，值得你多次游玩，黄山归来不看岳,,,,,,
