id,价格,评价,评价日期,票务类型,评论,
风吹淡淡凉885,165,1,2021.10.11,兰州极地海洋世界门票成人票,除了表演，其它都是坑！不值140的门票！,
匿名用户,165,2,2021.10.10,兰州极地海洋世界门票成人票,花140，只看了10的人鱼表演，也没什么特别的,
Oky70741562,165,3,2021.10.08,兰州极地海洋世界门票成人票,门票价格偏贵，场馆综合体验和规模有待提高。,
iui251161801,165,2,2021.10.11,兰州极地海洋世界门票成人票,好垃圾的地方，除了水母就是水母,
PWR869632278,165,3,2021.10.09,兰州极地海洋世界门票成人票,还可以，服务员会主动打招呼，非常贴心，为服务好评,
匿名用户,165,3,2021.10.10,兰州极地海洋世界门票儿童/学生/老人/军人/残疾人票,环境还可以，还有海狮演出也很出色,
匿名用户,165,4,2021.06.02,兰州极地海洋世界（儿童节活动）门票亲子（1大1小）票,挺好的玩的开心就是出了点小差完了把手机丢了前台很热心帮我呼叫有帮忙打点电话，监控人员也不错帮忙调监控，虽然出了点以外手机被人拿走有送回来了前台有给我打电话我有去拿回来，虽然手机不值钱也不好，可里面有家人照片还有各种信息啥的找不回来很麻烦所以很感谢工作人员工作认真待人热情，下次有家人或朋友来会继续光临把海洋世界的美景以及表演介绍给大家。感恩感谢漂亮的前台美女还有监控的帅哥,
jKu817990736,165,1,2021.10.06,None,服务差，态度恶劣，卖烤肠的小伙特别牛逼，千万不要来。,
A张先生111,165,1,2021.10.08,兰州极地海洋世界门票儿童/学生/老人/军人/残疾人票,多少有点差，没几样值得欣赏，里面环境也不咋地,
杨石平,165,1,2021.07.16,兰州极地海洋世界夜场票成人票,原本是专门冲着夜场去的，结果啥啥都没有，就几分钟的美人鱼表演糊弄人呢。检票口的工作人员态度极差，问一下表演时间还不乐意说，让我自己听广播。给乌龟吃的剩饭残羹不说，又腥又脏。进去不到20分钟就转完了，感觉很不值。,
eIc146221434,165,1,2021.10.05,兰州极地海洋世界门票儿童/学生/老人/军人/残疾人票,没啥转的，进去半小时就出来了，海洋馆里还有兔子，我也是醉了,
hanyeC803,165,4,2021.10.11,兰州极地海洋世界门票儿童/学生/老人/残疾人/军人票,服务周到，环境优美，值得一游。,
Wld944849873,165,3,2021.10.03,兰州极地海洋世界门票儿童/学生/老人/残疾人/军人票,还不错服务非常贴心一级棒，毛巾也是消过毒的，可以放心大胆用^qUxJg$c'',
better7532,165,3,2021.10.10,兰州极地海洋世界门票成人票,140的门票，不太值得，慎重考虑,
WeS429560237,165,2,2021.09.21,兰州极地海洋世界门票成人票,一般般吧！价格太贵了，性价比不高！,
匿名用户,165,1,2021.07.16,兰州极地海洋世界夜场票成人票, ,
PeS735783836,165,2,2021.10.05,兰州极地海洋世界门票儿童/学生/老人/军人/残疾人票,一般，反正不会去第二次……没有地方去了可以转一下……不值那个钱……,
KOU954505581,165,3,2021.10.10,兰州极地海洋世界门票医护人员免费票,还不错，可以的，可以去看看，娃娃去挺好的。,
jRi130343627,165,3,2021.10.08,兰州极地海洋世界门票成人票, ,
tghappymm,165,3,2021.10.05,兰州极地海洋世界门票成人票,这次刚好碰到表演，两只海狮萌萌哒，还不错。,
Tae576230965,165,1,2021.10.04,兰州极地海洋世界门票儿童/学生/老人/军人/残疾人票,建议大家不要去，基本啥也没有，不值得去，想去还是大名城的海洋馆,
zLK882790263,165,2,2021.10.08,兰州极地海洋世界门票成人票,服务可以，里面不怎么样，种类太少，没什么可看的,
夢忪,165,3,2021.10.07,兰州极地海洋世界门票成人票,妥妥智商税啊，一般般，不能好评,
夜色阑珊66607,165,4,2021.10.08,兰州极地海洋世界门票成人票,还不错  第一次去  挺好的,
宸G宸,165,5,2021.08.14,兰州极地海洋世界门票儿童/学生/老人/军人/残疾人票,三个孩子玩美了，第一次去，感觉特别好，孩子们非常喜欢,
匿名用户,165,4,2021.10.12,兰州极地海洋世界门票成人票,还可以,
KANG072364,165,4,2021.10.12,兰州极地海洋世界亲子门票（1大1小票）,还可以,
生如夏花49502,165,4,2021.10.08,兰州极地海洋世界门票（儿童/学生/老人/残疾人/记者/军人票）,【环境】很好，表演也很美，期待下次有更好的表演,
mea196796336,165,1,2021.10.08,兰州极地海洋世界门票成人票,啥也没有，门票还那么贵，一点都不值,
EkW124000210,165,2,2021.10.06,兰州极地海洋世界门票儿童/学生/老人/军人/残疾人票,期望很高，去了感觉不值140元的票价。一般般,
ZSv246261461,165,3,2021.10.04,兰州极地海洋世界门票成人票, ,
慕如君,165,3,2021.10.03,兰州极地海洋世界门票成人票,还不错，孩子很喜欢，如果再引进海豚就更好了,
raq649475422,165,3,2021.10.07,兰州极地海洋世界成人票,还行，如果在能进变大一点就好了，,
Zuq324363200,165,4,2021.10.08,兰州极地海洋世界门票成人票,这服务，确实没得说，推荐推荐推荐,
单调的大叔,165,1,2021.10.03,兰州极地海洋世界门票成人票,到点的人鱼表演等半天也不演，人多的要死，小孩等半天很失望,
匿名用户,165,1,2021.10.06,兰州极地海洋世界门票成人票,超级不推荐去 门票死贵 里面没一点意思,
yuT869248212,165,2,2021.10.06,兰州极地海洋世界门票儿童/学生/老人/军人/残疾人票,馆比较小，表演场地也很小，门票有些贵,
tghappymm,165,3,2021.10.05,兰州极地海洋世界门票成人票,水母区有好多水母，介绍也比较详细。,
生如夏花49502,165,3,2021.10.08,兰州极地海洋世界门票成人票,环境很好，表演也很美，期待下次光临,
mcx0715,165,5,2021.10.07,兰州极地海洋世界门票成人票,特别好，玩的很开心！！！！！,
raq649475422,165,3,2021.10.07,兰州极地海洋世界儿童/学生/老人/军人/残疾人票门票,还行，还需要改进，在大一点吧，还行。,
nEB144378478,165,3,2021.10.03,兰州极地海洋世界门票成人票,还可以吧，去的时候有一部分在装修，水母很漂亮,
vJC256736796,165,1,2021.10.07,None,两大两小呢？一大两小呢？现在开放开三胎了呢,
匿名用户,165,2,2021.10.05,兰州极地海洋世界门票成人票,很一般吧，很多设施还在施工中，没法参观,
love宝鸿,165,1,2021.10.03,兰州极地海洋世界门票成人票,人太多，美人鱼表演打折，很没意思，价格还高,
匿名用户,165,2,2021.10.04,兰州极地海洋世界门票成人票,门票价位太高了，项目与价位不符！有点划不来！,
辣先生1314,165,4,2021.10.03,兰州极地海洋世界门票儿童/学生/老人/军人/残疾人票,其他还不错 ，就是海狮表演场地有些不大 人一多  坐不下。,
PeS735783836,165,3,2021.10.05,兰州极地海洋世界门票成人票,实在没有地方去，可以转一下……一般，不会再去第二次……,
四海潮生yz,165,1,2021.10.04,兰州极地海洋世界门票成人票,没话说 很失望 我觉得什么都没有   照片都是骗人的,
CwF120721228,165,2,2021.10.07,兰州极地海洋世界门票成人票,设备维修中，场地维修中，整体装修中。,
匿名用户,165,4,2021.10.03,兰州极地海洋世界门票儿童/学生/老人/残疾人/军人票,还算可以吧，我们去的时候有一部分在装修，就还好,
ngS511646130,165,1,2021.10.02,兰州极地海洋世界门票成人票,我可能家里有矿才回去那个地方吧，要啥没啥。真的不推荐,
匿名用户,165,3,2021.10.02,兰州极地海洋世界门票成人票,很不错的选择，建议亲子出行，票价合适，设施完善,
匿名用户,165,2,2021.10.03,兰州极地海洋世界门票成人票,就是有点贵，但是里边互动真的少，就是值个半价吧就是说。,
匿名用户,165,2,2021.10.06,兰州极地海洋世界门票大学生票,说真的，很小，没有什么特别的，一般般吧,
顺风顺水549,165,2,2021.10.04,兰州极地海洋世界门票成人票,没有以前好了，有些都没有了，价位有点高,
爱情睡醒了664,165,3,2021.10.04,兰州极地海洋世界门票儿童/学生/老人/军人/残疾人票,还可以，祝生意兴隆，财源滚滚，和气生财,
MpC209727307,165,3,2021.10.05,兰州极地海洋世界门票儿童/学生/老人/军人/残疾人票,不是有节目哇，节目在哪呢，完全没看到啊。,
cjh765899834,165,3,2021.10.03,兰州极地海洋世界门票儿童/学生/老人/军人/残疾人票,刚进门拍照片是套路，设施没有一点变化,
爱情睡醒了664,165,3,2021.10.04,兰州极地海洋世界门票成人票,还不错，生意兴隆，财源滚滚，和气生财。,
无所不能小仙女,165,4,2021.08.21,兰州极地海洋世界门票成人票,很不错的亲子游玩地，美人鱼表演很漂亮，孩子见识也增长了！,
伊一chen,165,4,2021.10.05,兰州极地海洋世界夜场门票（成人票）,入园前均可购买,美人鱼表演不错
清风挽心4395,165,2,2021.10.03,None,能有个客服接一下电话嘛？，打半天了,
jFV910387060,165,4,2021.10.06,兰州极地海洋世界门票儿童/学生/老人/军人/残疾人票,不错,
匿名用户,165,3,2021.09.19,兰州极地海洋世界门票儿童/学生/老人/残疾人/军人票,挺好的还是很不错的适合情侣出游，就是价格不太合理挺好的还是很不错的适合情侣出游，就是价格不太合理挺好的还是很不错的适合情侣出游，就是价格不太合理挺好的还是很不错的适合情侣出游，就是价格不太合理嗯嗯，就这样,
qCL257865174,165,5,2021.10.05,兰州极地海洋世界门票成人票,特别棒，满足对海洋的向往,
WmJ780789793,165,1,2021.10.05,兰州极地海洋世界门票成人票,最多50元，太亏了，不如去吃个火锅,
水娟娟427,165,3,2021.09.28,兰州极地海洋世界门票成人票,还不错，环境好，美人鱼表演的时间有点短了,
匿名用户,165,3,2021.10.03,兰州极地海洋世界门票儿童/学生/老人/军人/残疾人票,设施齐全，服务尚可，景观不错。,
匿名用户,165,3,2021.10.01,兰州极地海洋世界门票成人票,一般般，还没有榆中的好，票价还贵。,
吃货不m,165,4,2021.08.10,兰州极地海洋世界门票成人票,不错不错！,
遇见gaga,165,4,2021.10.06,兰州极地海洋世界门票亲子（1大1小）票,不錯,
PcO494138577,165,4,2021.10.04,兰州极地海洋世界门票（儿童/学生/老人/残疾人/记者/军人票）,好,
wzh蓉宝宝,165,4,2021.09.27,兰州极地海洋世界门票成人票,设施挺好的，我家的宝贝挺喜欢玩耍，服务态度也很好哦。,
匿名用户,165,1,2021.10.01,兰州极地海洋世界门票成人票,太坑了！根本不值140一张票！,
匿名用户,165,1,2021.09.30,兰州极地海洋世界门票成人票,里面装修也不说，啥意思都没有，白花钱,
Rht676354443,165,5,2021.10.04,None,有没有停车场,
cCD358067546,165,1,2021.09.29,兰州极地海洋世界门票儿童/学生/老人/残疾人/军人票,项目一般，环境一般。交通不便。,
QHV857731168,165,4,2021.10.02,兰州极地海洋世界门票成人票,不错，带孩子去，非常好,
PcU251471294,165,4,2021.10.04,兰州极地海洋世界门票成人票,入园前均可购买,非常不错。
sYs845838628,165,4,2021.10.04,兰州极地海洋世界门票成人票,还不错吧。,
HTs433386752,165,4,2021.10.02,兰州极地海洋世界门票成人票,带孩子值得一去的地方,
swat魏,165,1,2021.09.25,兰州极地海洋世界门票成人票,好多景区都没有开，门票还是原价，死贵死贵，不值得去,
wdw6733,165,2,2021.10.01,兰州极地海洋世界门票成人票,第二次来16.30的海狮表演一直不开始。。。。。。。。。。。。。。,
Eri667255526,165,1,2021.09.27,兰州极地海洋世界门票成人票,环境卫生设备点少，养殖动物也少,
ttttaotao,165,4,2021.08.14,兰州极地海洋世界门票儿童/学生/老人/军人/残疾人票, ,
cCD358067546,165,1,2021.09.29,兰州极地海洋世界门票成人票,一边施工一边开放，能看到的项目很少,
bzo125827155,165,3,2021.09.28,兰州极地海洋世界门票成人票,挺好的，带孩子老婆去玩玩散散心,
BuA796745857,165,2,2021.09.11,兰州极地海洋世界门票成人票,买票的时候人家告诉我们里面有好多表演，所以就买票进去看看，结果进去了又说只有一个表演，说其他的都过时间了，那我140买票进去干嘛去了？,
WPX278716116,165,3,2021.08.01,兰州极地海洋世界门票成人票,就是门票有点贵，整体效果还不错，门票便宜点，下次还会光临的,
songjie32122,165,4,2021.09.26,兰州极地海洋世界门票成人票,带老妈去转了转，挺好还有节目！,
swat魏,165,1,2021.09.25,兰州极地海洋世界门票成人票,好多景区没开，门票还是原价，真是坑人,
Spq495285308,165,3,2021.09.23,兰州极地海洋世界门票儿童/学生/老人/军人/残疾人票,嗯  一般般啦  人不是特别多  里面正在建设  以后估计就好了,
tda925241905,165,5,2021.09.29,兰州极地海洋世界门票儿童/学生/老人/军人/残疾人票,就是表演的有点少,
Ypk594717116,165,5,2021.09.09,兰州极地海洋世界门票成人票,好玩的好看的好多好多，孩子喜欢去。,
花儿8594,165,1,2021.08.07,兰州极地海洋世界门票成人票,票价巨贵，关键是要值得对吧？啥啥都没有还这么贵的票价，一到地方就感觉上当了，所谓的极地海洋世界是在一个貌似楼盘售楼处的地方，前台服务员爱答不理，进去了才知道彻底上当了，非常糟糕的地方，很努力的磨叽了半小时就看完了几乎没看点。,
KIKO大羽子,165,1,2021.08.08,兰州极地海洋世界门票成人票,就这么说吧，还没有兰州中心的鱼缸种类多，我是一条小鲨鱼也没见到，小海豚没见到，我只为那两只企鹅可怜，那是一般吗？那是相当的可怜啊，票价要140，我就觉得你也配要140？良心呢？,
Wwwww瑶.,165,4,2021.07.07,兰州极地海洋世界门票儿童/学生/老人/军人/残疾人票,还可以，动物没有想象的那么多，但是场馆挺大的，去的晚只看到了一个表演，里面可以逛两个小时左右吧。,
糖糖62404,165,3,2021.08.03,兰州极地海洋世界门票成人票,还不错，去不了远处可以带孩子来这里转转,
匿名用户,165,1,2021.07.15,兰州极地海洋世界夜场票成人票, ,
VFg546395731,165,2,2021.09.21,兰州极地海洋世界门票儿童/学生/老人/军人/残疾人票,环境各方面太一般了，门票还贵，没意思,
佩溶,165,3,2021.09.20,兰州极地海洋世界门票儿童/学生/老人/残疾人/军人票,我们带宝宝，和老人，去了三次了还不错很满意五星好评,
DloveYao,165,3,2021.09.20,兰州极地海洋世界门票成人票,总体还可以，环境良好，中小型也算不错了。,
兔小姐的美食店,165,2,2021.09.21,兰州极地海洋世界门票成人票,太小了。十几分钟就能转完。只有美人鱼表演值得看,
NuX668335607,165,2,2021.09.25,兰州极地海洋世界门票成人票,一般般吧，没有啥意思啊啊啊，啊啊啊啊啊,
自由自在337,165,3,2021.09.11,兰州极地海洋世界门票成人票,主要带孩子玩，美人鱼，海豹表演都不错，但我们大西北海洋馆还是有局限性！,
一碗米饭盖个菜,165,2,2021.09.21,兰州极地海洋世界门票成人票,对于140的门票来说，综合下来体验很一般，不值的。,
LJ阿西吧,165,1,2021.09.19,兰州极地海洋世界夜场票成人票,总体的体验感比较差，没有新意，逛半个小时就完事了,
妙妙＊520,165,2,2021.09.20,兰州极地海洋世界门票成人票,这个价格是，看到大多像花鸟市场一样,
的独白968,165,4,2021.07.25,兰州极地海洋世界门票成人票,服务热情，里面还有儿童乐园。美人鱼表演，海狮表演，和小孩子互动，还可以留影。是一次不错的，带孩子去玩的地方。,
匿名用户,165,1,2021.09.09,兰州极地海洋世界门票成人票,里面真的老实差而且基本没什么可以观赏的东西，差不多半个小时都不要就全部走完了可以出去了,
文武晶,165,5,2021.09.19,兰州极地海洋世界门票成人票,动物挺多的，在兰州来说，是个不错的的海洋馆,
闫君起,165,1,2021.07.18,兰州极地海洋世界门票成人票,陈旧，门口保安有车位都不让你进，地下停车场一样不让进，都说停满了，都给你指到对面！进门一个玩手机的小伙子说不戴口罩不让进，可是进到里面一看，工作人员基本都没有戴口罩！,
匿名用户,165,3,2021.09.19,兰州极地海洋世界成人票,还行，带孩子去玩玩。就是海洋动物有点少。,
婷儿大宝贝吖～,165,2,2021.09.07,兰州极地海洋世界门票儿童/学生/老人/军人/残疾人票,东西太少了，价格太贵了。好几个都是空的，我感觉价格100稍微贵点儿就行了，感觉有些太贵，太贵了。,
珍惜命中有你,165,2,2021.09.18,兰州极地海洋世界门票成人票,一般般吧，好多项目都还没有，希望下次去能好一点,
犯二小胖,165,1,2021.09.18,兰州极地海洋世界门票成人票,没有啥好玩的，太小了，门票还贵,
匿名用户,165,1,2021.07.22,兰州极地海洋世界门票成人票,进门就说水母区可以拍照，结果拍出来的人面部扭曲，很差劲，这个白狐没精打采的，海洋馆居然还有龙猫，,
匿名用户,165,1,2021.08.27,兰州极地海洋世界门票成人票,设施还可以，不过单人一百四的门票偏贵。里边的服务就一言难尽，尤其是照相的，还口口声声说旅游一次免费送一张照片，送的照片还真够恶心人的，不如不送,
小寒寒0528,165,3,2021.07.23,兰州极地海洋世界门票成人票,里面太小了不太好玩，鱼也不好看好小的鱼，什么活动都没有，一进去有个拍照的结果要海洋鱼背景相片还得加钱,
珍惜命中有你,165,2,2021.09.18,兰州极地海洋世界门票儿童/学生/老人/军人/残疾人票,没什么东西看，就是鱼种类多一点,
小葉子！,165,1,2021.09.18,兰州极地海洋世界门票成人票,真心不怎么样，不值那140的门票，我看40还差不多！浪费,
zZB502333075,165,1,2021.09.13,兰州极地海洋世界夜场票成人票,服务态度不是很好，并且是暑假的下午去的，没有什么表演，真的不怎么推荐去,
燕燕的单眼皮,165,2,2021.09.18,兰州极地海洋世界门票成人票,不是特别吸引人，设施陈旧，冷冷清清,
思考808,165,3,2021.09.16,兰州极地海洋世界门票成人票,环境干净卫生，里面品种多样，深受孩子们喜欢,
晨雪夜雨,165,3,2021.09.17,兰州极地海洋世界门票亲子（1大1小）票,还不错，孩子们就喜欢玩里面沙子,
ICH428491260,165,2,2021.09.15,兰州极地海洋世界门票成人票,逛一会就到走到头了  不是很大 表演的节目也比较少,
tao1024976788,165,5,2021.09.21,兰州极地海洋世界门票成人票,好,
抹茶圆圈圈,165,3,2021.07.16,兰州极地海洋世界门票成人票,不错，表演的可以，但表演项目有点少，只有海狮表演，美人鱼表演，和海底喂食，时间也比较短，应该添加一点互动环节，或者增加点项目，不然，太少。,
佩溶,165,4,2021.09.20,兰州极地海洋世界门票成人票,还不错，孩子很喜欢去,
思考808,165,3,2021.09.16,兰州极地海洋世界门票（儿童/学生/老人/残疾人/记者/军人票）,环境不错干净卫生，小孩子玩的很开心,
dIC689898498,165,3,2021.09.18,兰州极地海洋世界门票成人票,着心还不错，有机会了再去一次。,
SUv634263955,165,2,2021.06.03,兰州极地海洋世界门票成人票, ,
星星划过夜,165,2,2021.09.03,兰州极地海洋世界门票成人票, ,
婷儿大宝贝吖～,165,2,2021.09.07,兰州极地海洋世界门票成人票,上一条评论过了，最多的就是水母，海狮还行，价格偏高，划不来。,
匿名用户,165,1,2021.09.09,兰州极地海洋世界门票大学生票,老实差没什么好评价的，一百多块换在里面走十多分钟，而且里面好多鱼都没有展出,
奔跑的犀牛1223,165,2,2021.09.18,兰州极地海洋世界门票成人票,一般，一般，没有什么特色！！！,
wangqrzhudi,165,3,2021.09.11,兰州极地海洋世界门票成人票,一般般！就是感觉一般，表演也一般，价格也贵，去一次也就够了。,
XNN851724766,165,3,2021.09.12,兰州极地海洋世界门票儿童/学生/老人/军人/残疾人票,带着孩子去玩，还有小海狮表演，美人鱼跳舞，都很好,
gKp554702702,165,4,2021.09.20,兰州极地海洋世界门票成人票,推荐,
匿名用户,165,2,2021.09.15,兰州极地海洋世界门票成人票,嗯。。。怎么说呢，一百四十块钱，感觉不值。,
juq364196774,165,2,2021.09.14,兰州极地海洋世界成人票,啥也没有，门票有贵。不建议去。真的很一般,
匿名用户,165,1,2021.07.17,兰州极地海洋世界门票成人票,本人极少给商家差评，除非忍无可忍！首先，140的票价在西北地区海洋馆可以说数一数二了，但是进去最多1小时就能逛完（包括看表演的时间）；第二，进去后至少有3个二次收费的项目，要想都体验至少再花40左右；第三，表演真是差强人意，可以说是应付，几乎没啥观赏性可言，也就是没看过的人会觉得有点新鲜。综上所述，这地方是我去过的海洋馆中体验感最差的，根本不值140的票价！,
几分老友263,165,5,2021.08.14,兰州极地海洋世界门票成人票,很棒，带宝宝一起去的，很适合亲子，情侣去玩,
妮妮0906,165,3,2021.09.12,兰州极地海洋世界门票儿童/学生/老人/军人/残疾人票,地方有限，感觉一般，只能说还不错,
元一君,165,3,2021.09.11,兰州极地海洋世界门票儿童/学生/老人/军人/残疾人票,挺不错的，环境也挺好，喜欢，下次还会去玩哦,
非儿202525,165,3,2021.09.03,兰州极地海洋世界门票成人票,带孩子一起来的，里面没有小孩玩的，好像不是很感兴趣，不过外面的孩子乐园还不错适合小孩,
anranxiaomei,165,3,2021.09.11,兰州极地海洋世界门票成人票,挺不错的地方，可以带孩子去看看，感受一下！,
匿名用户,165,2,2021.09.12,兰州极地海洋世界门票成人票,就那样吧啊没什么可以说的。只能说一般般,
FvL660725305,165,3,2021.09.10,兰州极地海洋世界门票大学生票,环境还可以，就是小了点，没转多久就看完了,
FUa524765147,165,3,2021.09.08,兰州极地海洋世界成人票,里面服务态度很好，环境不错，介绍盆友过来的,
饿了死快点送过来,165,2,2021.09.09,兰州极地海洋世界大学生专属票,个人觉着很一般 不过票价也就只能做到这le,
武威山里娃,165,3,2021.09.12,兰州极地海洋世界门票成人票,还可以吧，有小孩的可以来看一看,
邱维峰,165,5,2021.09.14,兰州极地海洋世界门票成人票,还可以,
青葱的资本,165,5,2021.07.25,兰州极地海洋世界门票成人票,宝贝很喜欢，这里的动物和海洋生物比极地的多，值得一看，娃娃很喜欢，值得带孩子来玩,
贫僧法号尼姑s,165,3,2021.09.10,兰州极地海洋世界门票成人票,为什么非要十五个字，没有什么要说的，还可以,
zhiguang6818,165,3,2021.09.07,兰州极地海洋世界门票亲子（1大1小）票,老婆和孩子一起去的。具体没有去现场，不知道。,
ydm482746884,165,2,2021.09.08,兰州极地海洋世界门票成人票,也就那样，一般吧，没有多好，价格偏贵，,
mqE871688954,165,2,2021.09.10,兰州极地海洋世界门票儿童/学生/老人/残疾人/军人票,偷工减料！海豹表演取消了！气的我！,
射手座的手,165,2,2021.09.07,兰州极地海洋世界门票成人票,一百四十块钱，半个小时就考完了，哎,
Uab796454733,165,4,2021.09.09,兰州极地海洋世界门票儿童/学生/老人/残疾人/军人票,总体感觉还是比较不错的，推荐！,
匿名用户,165,2,2021.08.25,兰州极地海洋世界夜场票成人票,环境一般，服务太差了，进去买票，忽悠人。大门口守的人，让去里面买票，里面的人拒绝现场买票。太乱了，影响人的心情,
Uab796454733,165,4,2021.09.09,兰州极地海洋世界大学生专属票,非常好，和女朋友一起去的，很好！,
fNx246408264,165,3,2021.09.06,兰州极地海洋世界夜场票（儿童/学生/老人/军人/残疾人票）,长见识还可以，推荐去看美人鱼表演,
幕后光遇,165,3,2021.09.05,兰州极地海洋世界门票儿童/学生/老人/军人/残疾人票,总体还行，美人鱼表演不错，其他的比较一般了,
oCG87108301,165,3,2021.09.03,兰州极地海洋世界门票成人票,还不错，就是门票有点贵，五一带孩子去玩的,
天魔李傲,165,4,2021.08.02,兰州极地海洋世界成人票,可以，潜水也好玩,
gUa644430680,165,5,2021.08.20,兰州极地海洋世界门票成人票,很好，很享受，住宿环境，酒店设施都不错，很适合公办出差、居家旅游，性价比很好，前台服务热情，各类服务保障到位,
FUa524765147,165,3,2021.09.08,兰州极地海洋世界儿童/学生/老人/军人/残疾人票门票,真的不错，还会介绍朋友过来玩，还会来哦,
匿名用户,165,2,2021.09.07,兰州极地海洋世界门票成人票,不怎么样 很少地方也小  没什么可转的,
QCF712902598,165,4,2021.09.06,兰州极地海洋世界门票成人票,不错，挺好，对象很喜欢，值得一看,
YVm890500565,165,4,2021.09.07,兰州极地海洋世界门票成人票,不错  带孩子去是个好地方,
幕后光遇,165,3,2021.09.05,兰州极地海洋世界门票成人票,总体一般，没有想的那么好，比较无聊,
匿名用户,165,1,2021.09.01,兰州极地海洋世界门票成人票,没意思，不值得。东西很少，环境一般！,
dSO392637124,165,2,2021.08.27,兰州极地海洋世界门票成人票,没什么好看的，更不吸引人，门票价格稍微高了点，毕竟里面没什么开心吸引我的,
Yevil6400,165,2,2021.08.29,兰州极地海洋世界门票成人票,物不超所值，适合小朋友。停车不好停，好多地方没有东西。挺小的,
饿疯了！？！,165,3,2021.09.04,兰州极地海洋世界门票亲子（1大1小）票,不错吧，人多，后面照照片的有点肯人,
卡尔伯斯！！！,165,2,2021.09.04,兰州极地海洋世界门票儿童/学生/老人/残疾人/军人票,建议去了不要让他们给你照相，不划算,
Gzv120337900,165,5,2021.07.23,兰州极地海洋世界门票成人票,「热带海洋区」「河流湖泊区」「沙滩海洋区」,
JMW9035551,165,5,2021.09.04,兰州极地海洋世界亲子门票（1大1小票）,很好 亲子一家人去,
哒达嗒,165,2,2021.08.27,兰州极地海洋世界门票成人票,这个价位场地却这么小，进去半小时就看完了，跟别的海洋馆差远了,
飞龙424,165,2,2021.09.02,兰州极地海洋世界门票成人票,一般的很，性价比高，项目少，凑合吧,
Phf569790420,165,2,2021.09.01,兰州极地海洋世界门票成人票,里面动物少，没什么看的，孩子一会儿就出来了,
匿名用户,165,4,2021.08.24,兰州极地海洋世界门票儿童/学生/老人/残疾人/军人票,有幸看到海豹表演虽然短暂但是还是不错的就是里面味道真心不好闻,
vPM250734036,165,4,2021.09.06,兰州极地海洋世界门票成人票,入园前均可购买,很好，点赞！
撒拉小伙2005,165,5,2021.09.06,兰州极地海洋世界门票成人票,很好的,
旧人过客,165,3,2021.09.02,兰州极地海洋世界门票儿童/学生/老人/残疾人/军人票,比期待中的小了点，不过馆内设置都比较健全,
觅月淞,165,2,2021.08.29,兰州极地海洋世界门票成人票,地方不大，动物也不多，但很贵，实在有点不值得,
大可玄,165,2,2021.08.30,兰州极地海洋世界门票成人票,里边项目和价格不相匹配，性价比不高。,
BuJ162754112,165,3,2021.08.28,兰州极地海洋世界门票儿童/学生/老人/军人/残疾人票,感觉一般般吧，东西少门票还贵，有点不值！,
十年又怎样,165,3,2021.08.29,兰州极地海洋世界门票成人票,好像没有以前的种类多了，不过还可以吧,
Phf569790420,165,2,2021.09.01,兰州极地海洋世界门票儿童/学生/老人/军人/残疾人票,孩子没玩一会儿就出来了，觉得没意思,
快马加鞭送来。,165,2,2021.08.28,兰州极地海洋世界门票成人票,服务一般     工作人员态度极差       里面也就那样吧,
吃货万岁0331,165,3,2021.08.26,兰州极地海洋世界门票成人票,还可以吧！至少没有失望。【项目】挺多的【交通】方便【环境】还可以,
bio698251184,165,2,2021.09.03,兰州极地海洋世界门票大学生票,适合小朋友，冷清清的，。， ， ， ， ， ，,
蕾蕾0001,165,4,2021.08.29,兰州极地海洋世界门票儿童/学生/老人/军人/残疾人票,孩子很喜欢，合适孩子观看。。,
BuJ162754112,165,3,2021.08.28,兰州极地海洋世界门票成人票,一般般，门票贵东西少，感觉不值！,
xBO946605932,165,4,2021.09.03,兰州极地海洋世界门票儿童/学生/老人/残疾人/军人票,非常好的~,
xBO946605932,165,4,2021.09.03,兰州极地海洋世界门票亲子（1大1小）票,很好~,
hiV593066216,165,3,2021.08.28,兰州极地海洋世界门票成人票,门票太贵，里面设施比较简陋，不太满意,
M麋鹿X,165,3,2021.08.22,兰州极地海洋世界门票成人票,一般吧！馆内面积太小了，对不起这个价格，海豚鲨鱼的都没有,
eBA799735835,165,3,2021.08.29,兰州极地海洋世界大学生专属票,好玩的，不错不错，值得推荐下次还去。,
孤云750,165,3,2021.08.07,兰州极地海洋世界成人票,海洋物种应有尽有身临其境乐在其中视觉冲击感真棒,
雨莫龘龘,165,5,2021.08.26,兰州极地海洋世界门票儿童/学生/老人/军人/残疾人票,票价太贵，不过挺好玩的,
aurora71945,165,4,2021.08.29,兰州极地海洋世界门票儿童/学生/老人/残疾人/军人票,实惠好看，玩儿的挺开心,
女士352,165,3,2021.08.11,兰州极地海洋世界门票成人票,西北有这样的开阔眼界场所实属不易，就是空气流通性差，小动物们也机灵可耐,
kongqian19891002,165,3,2021.08.29,兰州极地海洋世界门票成人票,不错，孩子挺喜欢！！！！！！！,
